discourse_id,essay_id,prompt_name,discourse_effectiveness,effect_score,holistic_essay_score,grade_level,ell_status,student_disability_status,race_ethnicity,economically_disadvantaged,F02,f02_present,discourse_text,premise_1,premise_2,conjunction_text,non_relevant,is_dismissed,dismissal_reason
disc_lead_00001,essay_01000,Exploring Venus,Effective,3,3.0,12,No,No,White,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.,Venus is a planet that scientists have tried to learn about,the environment is extraordinarily hostile and dangerous.,although,,False,
disc_lead_00002,essay_01001,Car-free cities,Effective,3,3.0,10,No,No,Asian,No,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.,I strongly disagree with driverless vehicles,untested autonomous algorithms pose significant risks to pedestrians.,because,,False,
disc_lead_00003,essay_01002,Driverless cars,Effective,3,2.0,9,No,Yes,Hispanic/Latino,Yes,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was.",scientists can figure out more about Venus,we can further our understanding of what this planet once was.,If,,False,
disc_lead_00004,essay_01003,Facial Action Coding System,Adequate,2,3.0,11,No,No,White,Yes,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.,Students should participate in community service,it fosters empathy and builds essential civic responsibility.,since,,False,
disc_lead_00005,essay_01004,Seeking the Author,Adequate,2,4.0,9,No,Yes,Black/African American,No,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes.",car-free cities reduce urban pollution,many citizens rely heavily on personal vehicles for daily commutes.,Although,,False,
disc_lead_00006,essay_01005,Exploring Venus,Adequate,2,4.0,10,No,Yes,White,Yes,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.,People should support renewable technology,fossil fuels contribute directly to catastrophic global climate change.,because,,False,
disc_lead_00007,essay_01006,Car-free cities,Adequate,2,4.0,12,No,No,White,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.,The facial landmark image was created by natural erosion,some conspiracy theorists claim aliens sculpted a face on Mars.,even though,,False,
disc_lead_00008,essay_01007,Driverless cars,Adequate,2,4.0,8,No,No,Asian,Yes,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly.",government regulation strictly controls emissions,air quality in metropolitan areas will continue to degrade rapidly.,Unless,,False,
disc_lead_00009,essay_01008,Facial Action Coding System,Adequate,2,3.0,12,No,No,White,Yes,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.,We should switch to electric cars,charging infrastructure is made universally accessible to all residents.,provided that,,False,
disc_lead_00010,essay_01009,Seeking the Author,Ineffective,1,4.0,9,No,No,Asian,Yes,1,True,I think technology is good because it helps people do homework and talk to friends faster.,I think technology is good,it helps people do homework and talk to friends faster.,because,,False,
disc_lead_00011,essay_01010,Exploring Venus,Ineffective,1,5.0,9,No,No,Asian,No,1,True,Cars are bad when they make too much noise in the morning.,Cars are bad,they make too much noise in the morning.,when,,False,
disc_lead_00012,essay_01011,Car-free cities,Ineffective,1,5.0,11,No,No,Asian,No,1,True,"Although Venus is very hot, we should go there right now.",Venus is very hot,we should go there right now.,Although,,False,
disc_lead_00013,essay_01012,Driverless cars,Effective,3,4.0,9,Yes,No,White,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.,Venus is a planet that scientists have tried to learn about,the environment is extraordinarily hostile and dangerous.,although,,False,
disc_lead_00014,essay_01013,Facial Action Coding System,Effective,3,4.0,8,No,No,White,Yes,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.,I strongly disagree with driverless vehicles,untested autonomous algorithms pose significant risks to pedestrians.,because,,False,
disc_lead_00015,essay_01014,Seeking the Author,Effective,3,2.0,10,No,No,Black/African American,No,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was.",scientists can figure out more about Venus,we can further our understanding of what this planet once was.,If,,False,
