discourse_id,essay_id,prompt_name,discourse_effectiveness,effect_score,holistic_essay_score,grade_level,ell_status,student_disability_status,race_ethnicity,economically_disadvantaged,F02,f02_present,discourse_text
disc_lead_00001,essay_01000,Exploring Venus,Effective,3,3.0,12,No,No,White,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00002,essay_01001,Car-free cities,Effective,3,3.0,10,No,No,Asian,No,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00003,essay_01002,Driverless cars,Effective,3,2.0,9,No,Yes,Hispanic/Latino,Yes,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00004,essay_01003,Facial Action Coding System,Adequate,2,3.0,11,No,No,White,Yes,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00005,essay_01004,Seeking the Author,Adequate,2,4.0,9,No,Yes,Black/African American,No,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00006,essay_01005,Exploring Venus,Adequate,2,4.0,10,No,Yes,White,Yes,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00007,essay_01006,Car-free cities,Adequate,2,4.0,12,No,No,White,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00008,essay_01007,Driverless cars,Adequate,2,4.0,8,No,No,Asian,Yes,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00009,essay_01008,Facial Action Coding System,Adequate,2,3.0,12,No,No,White,Yes,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00010,essay_01009,Seeking the Author,Ineffective,1,4.0,9,No,No,Asian,Yes,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00011,essay_01010,Exploring Venus,Ineffective,1,5.0,9,No,No,Asian,No,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00012,essay_01011,Car-free cities,Ineffective,1,5.0,11,No,No,Asian,No,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00013,essay_01012,Driverless cars,Effective,3,4.0,9,Yes,No,White,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00014,essay_01013,Facial Action Coding System,Effective,3,4.0,8,No,No,White,Yes,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00015,essay_01014,Seeking the Author,Effective,3,2.0,10,No,No,Black/African American,No,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00016,essay_01015,Exploring Venus,Adequate,2,2.0,9,No,No,Asian,Yes,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00017,essay_01016,Car-free cities,Adequate,2,2.0,12,No,No,Black/African American,No,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00018,essay_01017,Driverless cars,Adequate,2,3.0,10,No,No,Black/African American,Yes,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00019,essay_01018,Facial Action Coding System,Adequate,2,2.0,9,No,No,Black/African American,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00020,essay_01019,Seeking the Author,Adequate,2,3.0,12,No,Yes,Black/African American,No,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00021,essay_01020,Exploring Venus,Adequate,2,4.0,12,No,No,Black/African American,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00022,essay_01021,Car-free cities,Ineffective,1,4.0,9,No,No,Hispanic/Latino,No,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00023,essay_01022,Driverless cars,Ineffective,1,3.0,11,Yes,No,Hispanic/Latino,Yes,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00024,essay_01023,Facial Action Coding System,Ineffective,1,3.0,8,No,No,White,No,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00025,essay_01024,Seeking the Author,Effective,3,4.0,10,No,No,Black/African American,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00026,essay_01025,Exploring Venus,Effective,3,3.0,10,No,No,White,Yes,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00027,essay_01026,Car-free cities,Effective,3,2.0,9,Yes,No,Hispanic/Latino,No,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00028,essay_01027,Driverless cars,Adequate,2,3.0,8,No,Yes,Asian,Yes,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00029,essay_01028,Facial Action Coding System,Adequate,2,3.0,8,No,No,White,No,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00030,essay_01029,Seeking the Author,Adequate,2,5.0,11,No,No,White,No,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00031,essay_01030,Exploring Venus,Adequate,2,3.0,11,Yes,No,Black/African American,Yes,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00032,essay_01031,Car-free cities,Adequate,2,4.0,11,No,No,Black/African American,No,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00033,essay_01032,Driverless cars,Adequate,2,4.0,10,No,No,Asian,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00034,essay_01033,Facial Action Coding System,Ineffective,1,3.0,8,No,No,Asian,Yes,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00035,essay_01034,Seeking the Author,Ineffective,1,3.0,8,No,No,Hispanic/Latino,Yes,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00036,essay_01035,Exploring Venus,Ineffective,1,4.0,9,Yes,No,White,Yes,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00037,essay_01036,Car-free cities,Effective,3,2.0,11,No,No,Black/African American,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00038,essay_01037,Driverless cars,Effective,3,3.0,10,Yes,No,White,No,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00039,essay_01038,Facial Action Coding System,Effective,3,2.0,11,Yes,No,Black/African American,Yes,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00040,essay_01039,Seeking the Author,Adequate,2,5.0,8,No,No,Hispanic/Latino,No,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00041,essay_01040,Exploring Venus,Adequate,2,3.0,12,No,No,White,No,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00042,essay_01041,Car-free cities,Adequate,2,3.0,10,No,No,Asian,No,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00043,essay_01042,Driverless cars,Adequate,2,4.0,12,No,Yes,Black/African American,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00044,essay_01043,Facial Action Coding System,Adequate,2,4.0,11,No,No,Asian,No,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00045,essay_01044,Seeking the Author,Adequate,2,3.0,10,No,No,Asian,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00046,essay_01045,Exploring Venus,Ineffective,1,5.0,12,Yes,No,White,No,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00047,essay_01046,Car-free cities,Ineffective,1,3.0,12,No,Yes,Asian,Yes,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00048,essay_01047,Driverless cars,Ineffective,1,3.0,8,No,No,White,Yes,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00049,essay_01048,Facial Action Coding System,Effective,3,4.0,10,No,No,Asian,No,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00050,essay_01049,Seeking the Author,Effective,3,3.0,10,No,No,Asian,No,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00051,essay_01050,Exploring Venus,Effective,3,4.0,12,No,No,Hispanic/Latino,No,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00052,essay_01051,Car-free cities,Adequate,2,5.0,9,No,No,Asian,No,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00053,essay_01052,Driverless cars,Adequate,2,4.0,11,Yes,No,Hispanic/Latino,Yes,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00054,essay_01053,Facial Action Coding System,Adequate,2,4.0,10,No,No,White,No,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00055,essay_01054,Seeking the Author,Adequate,2,4.0,8,No,No,Hispanic/Latino,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00056,essay_01055,Exploring Venus,Adequate,2,3.0,12,No,Yes,Black/African American,Yes,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00057,essay_01056,Car-free cities,Adequate,2,2.0,11,No,No,Asian,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00058,essay_01057,Driverless cars,Ineffective,1,5.0,11,No,No,Asian,Yes,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00059,essay_01058,Facial Action Coding System,Ineffective,1,3.0,9,No,Yes,Black/African American,Yes,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00060,essay_01059,Seeking the Author,Ineffective,1,4.0,8,No,No,Hispanic/Latino,Yes,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00061,essay_01060,Exploring Venus,Effective,3,2.0,8,No,No,Asian,No,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00062,essay_01061,Car-free cities,Effective,3,4.0,12,No,No,Asian,No,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00063,essay_01062,Driverless cars,Effective,3,3.0,8,No,No,Black/African American,Yes,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00064,essay_01063,Facial Action Coding System,Adequate,2,4.0,11,No,No,Hispanic/Latino,No,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00065,essay_01064,Seeking the Author,Adequate,2,3.0,8,No,No,Hispanic/Latino,No,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00066,essay_01065,Exploring Venus,Adequate,2,4.0,9,No,No,Black/African American,No,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00067,essay_01066,Car-free cities,Adequate,2,4.0,12,No,No,Asian,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00068,essay_01067,Driverless cars,Adequate,2,2.0,10,No,No,Black/African American,No,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00069,essay_01068,Facial Action Coding System,Adequate,2,3.0,10,No,No,White,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00070,essay_01069,Seeking the Author,Ineffective,1,5.0,11,No,No,Hispanic/Latino,Yes,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00071,essay_01070,Exploring Venus,Ineffective,1,2.0,10,No,No,White,No,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00072,essay_01071,Car-free cities,Ineffective,1,2.0,9,No,No,Hispanic/Latino,No,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00073,essay_01072,Driverless cars,Effective,3,4.0,12,No,No,White,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00074,essay_01073,Facial Action Coding System,Effective,3,3.0,8,No,No,Black/African American,Yes,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00075,essay_01074,Seeking the Author,Effective,3,3.0,12,No,No,Black/African American,No,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00076,essay_01075,Exploring Venus,Adequate,2,3.0,8,No,No,White,Yes,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00077,essay_01076,Car-free cities,Adequate,2,4.0,8,No,Yes,Black/African American,Yes,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00078,essay_01077,Driverless cars,Adequate,2,3.0,11,No,No,White,Yes,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00079,essay_01078,Facial Action Coding System,Adequate,2,4.0,11,No,No,Black/African American,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
